file,tempo_bpm,zcr_mean,rms_mean,centroid_mean,rolloff_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean
anxious-rise_C_minor.wav,123.046875,0.061110976319875776,0.06291691,1657.4051454263017,3670.608653192935,-246.99059,111.884705,-16.80213,23.211285,-4.8646693,6.9669604,-1.4354024,6.1142993,-2.357941,-0.7699004,-3.2468293,2.8315532,-0.27969953,0.82828707,0.60771704,0.4645486,0.7318033,0.45254615,0.2085682,0.24695033,0.6218453,0.4390454,0.2540462,0.27934378,0.40055335
DHH3_143_Ebm_DemoFX_02-143BPM-D♯ minor-BANDLAB.wav,143.5546875,0.048522843803972364,0.20428856,2128.618293767661,4676.647253481217,-140.78981,109.27128,41.932716,18.018198,15.903855,29.565695,2.4560585,14.624273,0.028107872,8.828608,-2.3566828,-0.07748845,-2.7511096,0.3701469,0.30724296,0.3506262,0.53973633,0.48007587,0.48928675,0.3791624,0.45051482,0.6718415,0.51765144,0.71232045,0.5640402
DHH3_155_Em_Bass-155BPM-E minor-BANDLAB.wav,151.99908088235293,0.004500599836142322,0.48448622,193.35739315190628,359.693205758427,-275.07834,212.49573,87.21472,22.909096,21.753248,24.65509,15.450897,8.200052,5.227024,3.444144,3.2390146,3.1963935,2.2047558,0.8464751,0.5589517,0.48775107,0.6090291,0.8240494,0.88526833,0.71040606,0.62788874,0.7178843,0.69087565,0.62553436,0.74588525
DHH3_155_Em_Demo_01-155BPM-E minor-BANDLAB.wav,103.359375,0.048269436154026214,0.20410934,2240.107738634265,4983.303387245435,-135.7301,108.92511,42.02241,14.994213,20.468132,24.856709,1.6073406,12.967879,-1.334642,7.326768,-5.9162364,1.628474,-1.596649,0.5310996,0.33412325,0.30969942,0.4037672,0.5972597,0.5022455,0.4546058,0.351077,0.45364767,0.6837329,0.519372,0.68078345
DHH3_155_Em_KeyPad-155BPM-E minor-BANDLAB.wav,117.45383522727273,0.030041183871722846,0.10111059,386.4803032779385,521.4341752984551,-380.65988,190.57503,70.51229,-7.678103,-17.661638,-6.170039,-8.905517,-19.369331,-23.398092,-21.261097,-18.471577,-18.831442,-23.47007,0.25181574,0.05170892,0.018228399,0.17836933,0.53893733,0.18827476,0.025538376,0.012178951,0.16920675,0.5760223,0.30569378,0.46524805
DHH3_155_Em_SynthMelody-155BPM-E minor-BANDLAB.wav,135.99917763157896,0.061018697331460675,0.07837123,991.4063242417812,1758.5852462254213,-273.29745,187.90964,-68.2186,19.353281,1.0452696,3.9651122,-13.572151,-13.411624,-16.812092,-21.06185,-25.254993,-24.401503,-19.017723,0.3589633,0.08216823,0.03061852,0.17149162,0.371456,0.24398269,0.22747578,0.07298705,0.14877029,0.4333796,0.35651743,0.7351929
DHH3_155_FullDrum-155BPM-BANDLAB.wav,103.359375,0.3242882432116105,0.059381586,5059.233042417769,7650.376086288624,-370.95773,-31.815454,28.839422,11.583625,-0.62269014,12.785619,-4.459381,9.662073,-3.502985,6.7510304,-5.5105743,2.6885707,-1.3584511,0.5963859,0.48875907,0.475562,0.4561756,0.45568708,0.5008595,0.48716542,0.519297,0.7147651,0.80392975,0.7040788,0.61688715
DHH3_155_Hi-hats-155BPM-BANDLAB.wav,103.359375,0.404964375585206,0.049185224,6804.8880183277415,8974.506781074439,-435.00876,-112.05069,19.873404,14.840063,1.5962905,8.072032,-10.953862,9.879326,-4.895254,8.42615,-9.062402,2.189583,-5.44741,0.47265962,0.3344874,0.28028488,0.28966656,0.24698533,0.3059006,0.3319814,0.46367097,0.9202453,0.83531815,0.6365406,0.6302335
DHH3_155_Kick-155BPM-BANDLAB.wav,51.6796875,0.011203037219101123,0.04833377,187.61815333894933,355.01558110955057,-499.99094,35.44376,15.817255,7.910477,6.8232427,5.100607,3.962625,3.3577785,2.5851955,2.2319994,1.8772848,1.5236803,1.3579817,0.22232546,0.21034315,0.20578423,0.20373525,0.19009176,0.186999,0.17531079,0.1775363,0.19587773,0.21180604,0.2129053,0.22154844
DHH3_155_Perc-155BPM-BANDLAB.wav,151.99908088235293,0.14990783005617977,0.013624343,2349.6134483071432,3445.4737974016853,-627.66034,-26.81696,5.5521345,1.7900555,-3.2811635,3.6654081,-3.8658845,0.98323727,-1.9623665,-0.19594,-0.22209816,0.033203825,-0.5351569,0.17914103,0.20716459,0.21959054,0.21407473,0.27764568,0.35407805,0.24674577,0.26880932,0.2346319,0.2155056,0.21115519,0.17509274
DHH3_155_Top-155BPM-BANDLAB.wav,103.359375,0.4008075842696629,0.034986813,6205.390028640935,8626.991529143259,-407.13196,-83.98714,9.497344,8.868153,-3.2521763,8.551686,-10.265374,7.470247,-5.828755,5.203819,-8.711035,0.56904864,-4.611597,0.5527798,0.41606018,0.39280942,0.37727565,0.3860772,0.4422078,0.43742335,0.47739756,0.7344624,0.83855194,0.6931239,0.5835745
DHH3_Clone_150_Fm_Bass-150BPM-F minor-BANDLAB.wav,99.38401442307692,0.010363592617753624,0.18972342,183.0748734159782,297.68092943274456,-413.77286,116.29577,75.645424,43.327377,29.83182,25.870155,21.950733,16.790478,12.390409,9.550059,7.687493,6.0681486,4.6368694,0.4517891,0.4264583,0.4511442,0.55711645,0.7106632,0.81690335,0.778982,0.70743114,0.6535959,0.61574733,0.53066784,0.44468638
DHH3_Clone_150_Fm_Melody-150BPM-F minor-BANDLAB.wav,151.99908088235293,0.0509811622509058,0.10598198,768.4824819152612,1164.8994777513587,-316.03925,177.63263,0.103733175,3.989995,3.6719413,-12.037066,-16.693296,-11.974969,-13.79628,-17.151537,-8.085405,7.1564193,14.000009,0.8600483,0.6872578,0.17114912,0.010146915,0.046403084,0.25014043,0.12036755,0.016506478,0.0062644244,0.009447162,0.05387103,0.1537511
DHH3_Clone_150_Fm_Sample-150BPM-F minor-BANDLAB.wav,151.99908088235293,0.0672943557518116,0.13751611,2294.510347584814,4666.190503991168,-229.07942,77.8874,56.90617,33.330807,0.11759689,21.685097,-1.8833171,9.978044,0.40684256,-1.2683207,1.1268743,16.8893,17.576195,0.87248826,0.5938645,0.3397112,0.36205697,0.43459514,0.5348826,0.41014856,0.38558584,0.3653289,0.3343005,0.3118659,0.4497919
DHH3_Clone_150_Fm_Synth-150BPM-F minor-BANDLAB.wav,151.99908088235293,0.06781801970108696,0.08867594,954.2218770785548,1555.9299634850543,-328.74005,165.94357,-15.06089,3.396387,-1.0478534,-1.4155523,-8.997588,2.3452861,-11.99718,-20.877712,-7.925827,5.1359377,12.35203,0.914905,0.45008004,0.056871396,0.009597461,0.047743253,0.26311272,0.088346355,0.025789825,0.02146044,0.018593408,0.060260408,0.18130364
DHH3_Clone_150_Fm_SynthBells-150BPM-F minor-BANDLAB.wav,151.99908088235293,0.04469719485960145,0.07949028,592.3861130613229,622.3173721976902,-432.55548,159.02959,25.085926,1.866287,-19.045837,-24.136261,-30.687971,-41.846138,-28.579245,-21.301558,-18.52131,-6.207968,1.0866957,0.78025603,0.7500302,0.21450347,0.010019905,0.048371233,0.24954243,0.12462136,0.0093701985,0.0013073545,0.009414512,0.0697068,0.12651865
DHH3_Clone_150_Fm_SynthVox-150BPM-F minor-BANDLAB.wav,86.1328125,0.05931555706521739,0.05438669,1141.510349706574,2476.0062839673915,-422.1361,88.57154,-2.3917232,4.1595144,14.421649,-7.3223505,-8.795073,-1.5173198,-7.514505,-10.896668,-8.271297,-9.093814,-11.829643,0.68074024,0.41525817,0.08503295,0.027232975,0.07656915,0.24449407,0.16089681,0.07017811,0.03995137,0.021224512,0.05892081,0.24488549
DHH3_Clone_150_FullDrum-150BPM-BANDLAB.wav,151.99908088235293,0.3405655570652174,0.05406362,4741.336562559328,7194.274371603261,-366.9438,-44.001316,17.802448,26.368326,-10.5831585,15.231555,-3.1362424,8.738324,1.7306135,3.9900088,0.221626,3.349942,0.87751746,0.52667654,0.5476116,0.5622798,0.6253611,0.5582668,0.661217,0.60585463,0.64362305,0.5108503,0.4712304,0.43531415,0.453394
DHH3_Clone_150_Hi-hats-150BPM-BANDLAB.wav,99.38401442307692,0.4783227892889493,0.03578231,6348.723175531187,8635.867707625679,-501.9571,-120.205605,19.095837,21.445366,-13.228291,12.635926,-11.239938,4.6186523,-2.9359055,3.0408764,-2.4179885,1.6168187,-0.7522069,0.32944804,0.39264154,0.42068973,0.36533213,0.2851596,0.5359503,0.6106879,0.7910579,0.51363105,0.46887645,0.40906957,0.27882928
DHH3_Clone_150_Kick-150BPM-BANDLAB.wav,75.99954044117646,0.01828400985054348,0.04211114,290.57531219361624,532.94677734375,-504.09488,32.72278,14.20239,10.581054,6.9496646,3.995395,3.0260665,2.9493558,3.2059665,2.224864,1.6640362,2.0717752,1.8696568,0.25509018,0.24876022,0.2463798,0.25312564,0.2678431,0.25216442,0.22259514,0.20611028,0.20969474,0.20941249,0.21856925,0.24392258
DHH3_Clone_150_PercCymbal-150BPM-BANDLAB.wav,49.69200721153846,0.21693309839221014,0.016110504,2794.7700086398104,4124.778681216033,-542.3193,-22.982265,-15.857846,29.63092,-11.925916,7.279305,-2.7523844,3.5236878,1.3975695,-1.3221259,2.9829116,0.08290129,-0.8639188,0.31078747,0.28799212,0.31212243,0.56933045,0.4572157,0.43366402,0.3341367,0.24383636,0.2301364,0.26929078,0.23202996,0.22854224
DHH3_Clone_150_Snare-150BPM-BANDLAB.wav,37.44904891304348,0.023671025815217392,0.014198815,547.2789860103366,1059.8080842391305,-623.42175,1.9781166,-6.701439,-3.3398867,-2.401873,-0.43750998,-0.73383915,1.4534945,-0.12679885,0.37384558,-0.52521074,0.40984777,-0.031084832,0.12299258,0.12150984,0.111530825,0.10696218,0.08416195,0.077774055,0.08011315,0.111967035,0.10305179,0.085053734,0.10766634,0.12534977
DHH3_Clone_150_Top-150BPM-BANDLAB.wav,99.38401442307692,0.41700634057971014,0.028618727,5522.921813387567,7902.490499745245,-435.49207,-88.93991,-2.0535655,23.34352,-16.742434,10.927307,-7.5217657,6.2215385,-1.255845,1.6515765,-1.6097858,1.4896967,-1.0236332,0.44829372,0.50155807,0.50830877,0.55571026,0.46659425,0.6184713,0.5839482,0.6413908,0.47463292,0.4400881,0.37540522,0.36627024
DHH3_Deep_140_Fm_Bass-140BPM-F minor-BANDLAB.wav,46.98153409090909,0.004486908783783784,0.33362228,122.94303214607926,185.46926137563344,-370.6358,143.89478,85.94441,49.98194,35.278008,26.484112,20.163897,15.262514,11.348577,8.888398,7.378377,6.471051,5.7895055,0.57746667,0.53942144,0.5332021,0.6131861,0.7569712,0.8435677,0.8135545,0.753855,0.68776447,0.6440197,0.5719961,0.5144031
DHH3_Deep_140_Fm_Melody-140BPM-F minor-BANDLAB.wav,135.99917763157896,0.0486499683277027,0.15203165,774.7401158277274,1560.8298636771538,-237.8661,213.89243,-28.627165,16.907257,25.3503,-3.7864137,3.491705,-15.812516,-5.923241,4.3443847,-28.608196,-14.127118,22.618784,0.5774858,0.45142546,0.09430877,0.08230641,0.36024943,0.70090914,0.25335887,0.21601649,0.05588556,0.1350803,0.38682836,0.16772506
